Question,True Answer,Predicted Answer,BLEU Score,ROUGE-2 Score
What is etl," a data integration process that combines data from multiple data sources into a single on,the consistent data store that is loaded into a data warehouse or other target system.","Extract, transform, and load, is a data integration process that combines",0.25,0.2564102564102564
What is sla,Is a contract between a service provider and its customers that documents what services the provider will furnish and defines the service standards the provider is obligated to meet.,Service-level agreement (sla) is a contract between a service provider and its,0.3,0.4
What does etl stand for ,"Extract , transform , load","Extract, transform, and load",0.8187307530779819,0.4
What does sla stand for,Service-level agreement,Service-level agreement (sla) is a contract between a service provider and its,0.0024787521766663,0.2857142857142857
A sla is a contract between who and who ,A service provider and its customers,A service provider and its customers,1.0,1.0
What is the type of testing preferred at adad,Black box testing (behavioral testing),Black box testing (behavioral testing),1.0,1.0
What is the role of the etl configuration panel,The aim of the etl configuration panel is to provide to the user the ability to view & edit (configure) the etl configurations for each data source & its markets.,The aim of the etl configuration panel is to provide to the user the ability to view,0.5151515151515151,0.7441860465116279
What is load test,Load test is the objective is to ensure that loading a hot (high-order transaction) file should be completed within a maximum duration of 1 hour,Load test is the objective is to ensure that loading a hot (high-or,0.4814814814814814,0.631578947368421
Give me example of the file name,9429515695_epa_amex_20150818_0453389821883824_epa_amex_20150818_045338,Ax_merchant_number_epa_amex_20150818,0.0,0.3076923076923077
What format should the file name respect ,Ax_merchant_number_epa_amex_$utc_date$_utc_time ,Ax_merchant_number_epa_amex_$utc,0.4,0.7692307692307693
How the adad gl file monitoring dashboard helps airlines easily track gl generation statuses,It allows to download gl files and detailed journal entries reports and offers simple filters for efficient monitoring.,It allows to download gl files and detailed journal entries reports and offers simple filters,0.7894736842105263,0.9032258064516128
What is scaling plan,"A scaling plan is a set of rules and costs associated with using adad platform : it refer to the cost of using a shared or dedicated infrastructure to host multiple tenants, as well as the cost of scaling the infrastructure to meet changing demand.",A scaling plan is a set of rules and costs associated with using adad platform,0.3191489361702128,0.4912280701754385
What is the overarching goal of load test,The overarching goal is to achieve a comprehensive and efficient data loading process for hot files within the specified timeframe.,The overarching goal is to achieve a comprehensive and efficient data loading process for hot files,0.7619047619047619,0.8823529411764706
What is unit test in a clean architecture,"In clean architecture, a unit test is a type of automated test that is used to test a functionality inside the domain (hexagon)",A unit test is a type of automated test that is used to test a functionality,0.6153846153846154,0.8108108108108109
Example of naming convention,Salesreport_{airlinecode}{salesreportid}{receptiondatetime(yyyymmdd_hh:mm:ss)}.csv,Salesreport_airlinecodesalesreportidreceptiondate,0.0,0.0
Who is the provider of hot files,Billing settlement plan(bsp) ,Billing settlement plan ( bsp) is the provider of hot filess,0.3678794411714423,0.5
What does bsp stand for,Billing settlement plan,Billing settlement plan( bsp) is the provider of hot filess,0.0497870683678639,0.3636363636363636
What is the purpose of the reconciliation module,The purpose of the reconciliation module is to match transactions from a data source type with transactions from another data source type using reconciliation keys (recokeys).,The purpose of the reconciliation module is to match transactions from a data source type with transactions,0.5862068965517241,0.7804878048780487
What is the purpose of matching rules module,The matching rules module enables the user to change the matching rules of a given reconciliation stage.,Matching rules module enables the user to change the matching rules of a given reconciliation stage,0.8888888888888888,0.967741935483871
"When the settlement is considered ""settled""","When it has been successfully matched to one or multiple sales, and the difference between the sale amount and the settlement amount falls within an acceptable threshold","When it has been successfully matched to one or multiple sales, and the difference between the sale",0.6428571428571429,0.761904761904762
"When a settlement falls under ""amount mismatch""", if it has been associated with a sale but the difference between the sale amount and the settlement amount exceeds the defined threshold,If it has been associated with a sale but the difference between the sale amount and,0.6956521739130435,0.8108108108108109
"When do the status ""pending"" apply",When no settlement has been linked to a sale,When no settlement has been linked to a sale,1.0,1.0
"What happened when when the capture status of the transaction is neither ""captured"" nor ""n/a","The ""n/a"" (not applicable) status is assigned ","""n/a"" status is assigned",0.5454545454545454,0.5454545454545454
What does soc stand for,Summary of charge ,Summary of charge,1.0,1.0
What is the purpose of airline’s referential data,"Airline’s referential data have the purpose to represent the ecosystem (payment and other) of the airline in adad, allowing it to better use adad",Adad gl file monitoring dashboard helps airlines easily track gl generation statuses,0.0344827586206896,0.0
What is the purpose of the airline's referntial data,"Airline’s referential data have the purpose to represent the ecosystem (payment and other) of the airline in adad, allowing it to better use adad",Adad gl file monitoring dashboard helps airlines easily track gl generation statuses,0.0344827586206896,0.0
What is the purpose of the airline's referntial data,"Airline’s referential data have the purpose to represent the ecosystem (payment and other) of the airline in adad, allowing it to better use adad","Represent the ecosystem (payment and other) of the airline in adad, allowing it",0.5517241379310345,0.6666666666666666
